         19638 function calls (19621 primitive calls) in 0.030 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _differentiable_functions.py:86(__init__)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 _sputils.py:220(isshape)
       13    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        1    0.000    0.000    0.000    0.000 parallel.py:350(__call__)
        4    0.000    0.000    0.000    0.000 {method 'sort' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.001    0.001 warnings.py:35(_formatwarnmsg_impl)
        3    0.000    0.000    0.000    0.000 queue.py:153(get)
        1    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
        3    0.000    0.000    0.000    0.000 threading.py:222(__init__)
        2    0.000    0.000    0.000    0.000 _logistic.py:1593(<genexpr>)
      2/1    0.000    0.000    0.000    0.000 parallel.py:732(_initialize_backend)
        2    0.000    0.000    0.000    0.000 functools.py:34(update_wrapper)
        6    0.000    0.000    0.000    0.000 fromnumeric.py:3164(ndim)
        1    0.000    0.000    0.000    0.000 parallel.py:920(retrieve)
        1    0.000    0.000    0.000    0.000 _lbfgsb_py.py:289(<listcomp>)
        1    0.000    0.000    0.000    0.000 uuid.py:132(__init__)
        6    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 queue.py:33(__init__)
        1    0.000    0.000    0.000    0.000 shape_base.py:512(expand_dims)
        2    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 base.py:495(_validate_data)
        2    0.000    0.000    0.000    0.000 version.py:467(_cmpkey)
        1    0.000    0.000    0.000    0.000 _methods.py:106(_clip_dep_invoke_with_casting)
        1    0.000    0.000    0.029    0.029 parallel.py:761(_dispatch)
        2    0.000    0.000    0.000    0.000 parallel.py:76(get_active_backend)
        1    0.000    0.000    0.029    0.029 parallel.py:258(__call__)
        1    0.000    0.000    0.000    0.000 _interface.py:142(__new__)
        2    0.000    0.000    0.000    0.000 _ufunc_config.py:32(seterr)
        6    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
        2    0.000    0.000    0.000    0.000 {built-in method posix.urandom}
        1    0.000    0.000    0.000    0.000 contextlib.py:72(inner)
        1    0.000    0.000    0.029    0.029 parallel.py:262(<listcomp>)
        4    0.000    0.000    0.000    0.000 arraysetops.py:138(unique)
        4    0.000    0.000    0.000    0.000 {method 'flatten' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 _logistic.py:1396(__init__)
        2    0.000    0.000    0.000    0.000 _sputils.py:198(isintlike)
        1    0.000    0.000    0.000    0.000 _parallel_backends.py:486(configure)
        1    0.000    0.000    0.000    0.000 {method 'searchsorted' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 disk.py:42(memstr_to_bytes)
        2    0.000    0.000    0.000    0.000 _parallel_backends.py:280(__init__)
        1    0.000    0.000    0.000    0.000 _constraints.py:316(old_bound_to_new)
        1    0.000    0.000    0.000    0.000 {method 'clip' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 contextlib.py:82(__init__)
        2    0.000    0.000    0.000    0.000 _logistic.py:431(_check_solver)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(einsum)
